✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 76123844 (OOH DELICIA CALDA PULSANTE AMORA) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto OOH DELICIA CALDA PULSANTE AMORA (ID: 76123844) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75990116 (PROTESE MACICA ROSA 15X5) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PROTESE MACICA ROSA 15X5 (ID: 75990116) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75990113 (HOT BALL 50 TONS - LIBERDADE.  Lotes:30534 Qtd.: 50,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL 50 TONS - LIBERDADE.  Lotes:30534 Qtd.: 50,000, (ID: 75990113) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75990112 (DELIRIUM GEL UMECTANTE CORPORAL 25G.  Lotes:30788 Qtd.: 50,000,) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto DELIRIUM GEL UMECTANTE CORPORAL 25G.  Lotes:30788 Qtd.: 50,000, (ID: 75990112) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75933163 (SACHE SEDENTÃO 3G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SACHE SEDENTÃO 3G (ID: 75933163) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75930088 (Anel Peniano c vibro clitoris e anus) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Anel Peniano c vibro clitoris e anus (ID: 75930088) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75883426 (PA - (FS) Jatos Ingula 15ml - Uva) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Jatos Ingula 15ml - Uva (ID: 75883426) não pode ser sincronizado. Campos faltando: código interno (SKU)
