✅ 18:52:03 | root | Initializing bidirectional synchronizer
✅ 18:52:03 | root | Running one-time synchronization
✅ 18:52:03 | root | Synchronizing all entities bidirectionally
✅ 18:52:03 | BidirectionalSynchronizer | 🔄 Iniciando sincronização bidirecional completa em 2025-04-16T18:52:03.319427
✅ 18:52:03 | BidirectionalSynchronizer | 📦 Iniciando sincronização de produtos do GestãoClick para Bagy...
✅ 18:52:03 | BidirectionalSynchronizer | 🔄 Iniciando sincronização de produtos do GestãoClick para Bagy
✅ 18:52:03 | BidirectionalSynchronizer | 📋 Buscando catálogo de produtos do GestãoClick...
✅ 18:52:03 | GestaoClickClient | Fetching products from GestãoClick (page 1, limit 100)
✅ 18:52:04 | GestaoClickClient | Fetching products from GestãoClick (page 2, limit 100)
✅ 18:52:05 | GestaoClickClient | Fetching products from GestãoClick (page 3, limit 100)
✅ 18:52:06 | GestaoClickClient | Fetching products from GestãoClick (page 4, limit 100)
✅ 18:52:07 | GestaoClickClient | Fetching products from GestãoClick (page 5, limit 100)
✅ 18:52:08 | GestaoClickClient | Fetching products from GestãoClick (page 6, limit 100)
✅ 18:52:09 | GestaoClickClient | Fetching products from GestãoClick (page 7, limit 100)
✅ 18:52:10 | GestaoClickClient | Fetching products from GestãoClick (page 8, limit 100)
✅ 18:52:12 | GestaoClickClient | Fetching products from GestãoClick (page 9, limit 100)
✅ 18:52:13 | GestaoClickClient | Fetching products from GestãoClick (page 10, limit 100)
✅ 18:52:14 | GestaoClickClient | Fetching products from GestãoClick (page 11, limit 100)
✅ 18:52:15 | GestaoClickClient | Fetching products from GestãoClick (page 12, limit 100)
✅ 18:52:16 | GestaoClickClient | Fetching products from GestãoClick (page 13, limit 100)
✅ 18:52:17 | GestaoClickClient | Fetching products from GestãoClick (page 14, limit 100)
✅ 18:52:18 | GestaoClickClient | Fetching products from GestãoClick (page 15, limit 100)
✅ 18:52:19 | GestaoClickClient | Fetching products from GestãoClick (page 16, limit 100)
✅ 18:52:20 | GestaoClickClient | Fetching products from GestãoClick (page 17, limit 100)
✅ 18:52:22 | GestaoClickClient | Fetching products from GestãoClick (page 18, limit 100)
✅ 18:52:23 | GestaoClickClient | Fetching products from GestãoClick (page 19, limit 100)
